"","estrato1","sex","age","oficio","relab","impa","maxEducLevel","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","ln_y","age2","Mujer"
"7742","3","0",29,"32","1",0,"6","0","1","1",48,"1","0","1","2",1679877.625,14.3342315064644,841,1
"7743","3","1",45,"21","1",5416666.66666667,"6","0","1","1",40,"1","0","0","5",5416666.5,15.5049911473027,2025,0
"7744","3","1",50,"98","4",2e+06,"5","1","1","2",48,"0","1","1","1",2e+06,14.5086577385242,2500,0
"7745","3","0",58,"79","4",4e+05,"5","1","1","2",40,"0","1","1","1",4e+05,12.8992198260901,3364,1
"7746","3","1",24,"87","1",2508333.33333333,"6","0","1","1",54,"1","0","0","5",2508333.25,14.7351290467085,576,0
"7747","3","1",37,"13","2",1897666.66666667,"6","0","2","1",80,"1","0","0","5",1897666.75,14.4561356631787,1369,0
"7748","3","1",34,"8","4",3e+06,"6","0","1","1",48,"1","1","0","5",3e+06,14.9141228466324,1156,0
"7749","3","0",32,"36","1",961953,"6","0","1","1",40,"1","0","0","5",961953,13.7767208719055,1024,1
"7750","2","1",31,"58","1",1388211,"6","0","1","1",48,"1","0","0","5",1388211,14.1435264257865,961,0
"7751","3","1",56,"59","1",1321544.33333333,"5","1","1","1",48,"1","0","0","5",1321544.375,14.0943115917287,3136,0
"7752","3","0",56,"32","2",1538211,"6","0","1","1",40,"1","0","0","5",1538211,14.2461306107952,3136,1
"7753","3","1",27,"18","1",781242,"6","0","1","1",40,"1","0","0","3",781242,13.5686402399803,729,0
"7754","3","1",57,"97","1",0,"5","1","1","3",48,"1","0","0","4",960599.244565217,13.7753125817928,3249,0
"7755","3","1",28,"11","1",0,"6","0","1","1",48,"1","0","0","4",1961666.625,14.489304988768,784,0
"7756","2","1",45,"45","4",3e+05,"2","0","3","2",48,"0","1","1","1",3e+05,12.6115377536383,2025,0
"7757","2","1",47,"95","1",993953,"3","0","1","1",48,"1","0","0","5",993953,13.8094452008186,2209,0
"7758","2","0",37,"55","1",930929.416666667,"5","1","1","1",50,"1","0","0","5",930929.4375,13.7439387612279,1369,1
"7759","3","1",55,"41","4",0,"5","1","1","2",70,"0","1","1","2",1400000,14.1519827945855,3025,0
"7760","3","0",54,"41","4",0,"5","1","1","2",98,"0","1","1","2",807782.258928571,13.6020478196625,2916,1
"7761","3","0",30,"13","1",901119.666666667,"6","0","1","1",54,"1","0","0","4",901119.6875,13.711393366281,900,1
"7762","3","0",26,"42","1",959453,"6","0","1","1",40,"1","0","0","4",919453,13.7315342069838,676,1
"7763","3","1",52,"3","4",8e+05,"6","0","1","2",48,"0","1","1","1",8e+05,13.5923670066501,2704,0
"7764","3","0",47,"44","1",1873666.66666667,"6","0","1","1",50,"1","0","0","5",1873666.625,14.4434078310781,2209,1
"7765","3","1",49,"2","1",540000,"6","0","1","2",9,"0","0","0","4",540000,13.1993244185405,2401,0
"7766","3","1",55,"39","4",1800000,"6","0","1","1",48,"1","1","0","5",1800000,14.4032972228664,3025,0
"7767","3","0",43,"54","3",4e+05,"5","1","1","2",24,"0","0","1","1",4e+05,12.8992198260901,1849,1
"7768","3","0",22,"38","1",0,"6","0","1","1",36,"1","0","0","5",1488211,14.2130852853976,484,1
"7769","2","0",45,"45","4",3e+05,"4","0","3","2",40,"0","1","1","1",3e+05,12.6115377536383,2025,1
"7770","2","1",46,"81","4",7e+05,"3","0","3","2",50,"0","1","1","1",7e+05,13.4588356140255,2116,0
"7771","3","1",32,"83","1",1350000,"6","0","1","1",45,"1","0","0","3",1350000,14.1156151504146,1024,0
"7772","3","1",63,"98","4",9e+05,"3","0","1","3",66,"1","1","1","1",9e+05,13.7101500423064,3969,0
"7773","3","1",58,"39","2",3467000,"6","0","1","1",40,"1","0","0","5",3467000,15.0588002246672,3364,0
"7774","3","0",54,"7","4",25000,"6","0","1","2",7,"0","1","1","1",25000,10.1266311038503,2916,1
"7775","3","0",28,"95","1",4e+05,"5","1","1","2",24,"0","0","1","2",4e+05,12.8992198260901,784,1
"7776","3","1",70,"79","4",0,"5","1","1","2",15,"0","1","1","1",1004154.51339286,13.8196564651944,4900,0
"7777","4","1",58,"21","4",3e+06,"6","0","1","2",48,"0","1","1","2",3e+06,14.9141228466324,3364,0
"7778","4","0",55,"59","3",1e+06,"6","0","1","2",24,"0","0","1","1",1e+06,13.8155105579643,3025,1
"7779","4","1",31,"9","1",0,"6","0","1","1",45,"1","0","0","4",5269791.8125,15.4775014154678,961,0
"7780","3","0",49,"45","4",0,"5","1","1","2",40,"0","1","1","1",623722.2,13.3434603559164,2401,1
"7781","3","1",24,"13","1",1713211,"6","0","1","1",48,"1","0","0","4",1713211,14.3538799454359,576,0
"7782","4","1",52,"16","1",1725000,"5","1","1","1",58,"1","0","0","5",1925000,14.470436525704,2704,0
"7783","4","0",49,"7","1",3336666.66666667,"6","0","1","1",40,"1","0","0","5",3336666.75,15.0204828875983,2401,1
"7784","3","1",26,"98","3",960919.666666667,"6","0","1","1",45,"1","0","1","2",960919.6875,13.7756461126599,676,0
"7785","3","1",40,"53","1",1085011,"5","1","1","1",60,"1","0","0","4",1085011,13.8971006831542,1600,0
"7786","4","1",60,"21","1",0,"5","1","1","1",54,"1","0","0","5",4640000,15.3502249242024,3600,0
"7787","4","0",57,"45","4",2e+05,"5","1","1","2",12,"0","1","1","1",2e+05,12.2060726455302,3249,1
"7788","4","0",29,"8","1",5650000,"6","0","1","1",45,"1","0","0","5",5150000,15.4545072726399,841,1
"7789","3","1",43,"21","1",1530000,"6","0","1","1",55,"1","0","0","5",1530000,14.2407782933686,1849,0
"7790","3","1",57,"97","1",1024877.66666667,"4","0","1","1",48,"1","0","0","5",1024877.6875,13.840083834166,3249,0
"7791","4","1",46,"41","4",8e+06,"6","0","1","2",40,"0","1","1","1",8e+06,15.8949520996441,2116,0
"7792","3","1",55,"6","1",3891666.66666667,"6","0","1","1",79,"1","0","0","5",6991667,15.7602295693252,3025,0
"7793","2","1",39,"99","4",0,"3","0","1","2",48,"0","1","1","2",830714.40625,13.6300413399785,1521,0
"7794","2","0",49,"55","4",5e+05,"1","0","3","2",40,"0","1","1","1",5e+05,13.1223633774043,2401,1
"7795","2","0",27,"53","1",5e+05,"5","1","3","2",48,"0","0","1","2",5e+05,13.1223633774043,729,1
"7796","2","1",30,"58","2",0,"5","1","2","1",72,"1","0","0","5",1373711.9375,14.1330270773098,900,0
"7797","3","1",51,"98","4",1200000,"6","0","1","2",72,"0","1","1","1",1200000,13.9978321147582,2601,0
"7798","3","1",26,"17","4",1500000,"6","0","1","2",42,"0","1","1","1",1500000,14.2209756660724,676,0
"7799","2","1",41,"95","1",6e+05,"2","0","1","2",54,"0","0","1","2",6e+05,13.3046849341983,1681,0
"7800","4","1",60,"15","4",1500000,"6","0","1","2",48,"0","1","1","1",1500000,14.2209756660724,3600,0
"7801","4","0",49,"43","1",4393333.33333333,"6","0","1","1",48,"1","0","0","5",4393333.5,15.2955988363068,2401,1
"7802","2","0",48,"45","4",450000,"1","0","3","2",68,"0","1","1","1",450000,13.0170028617465,2304,1
"7803","4","1",94,"16","4",0,"6","0","1","2",8,"0","1","1","1",2873333.29545455,14.8709833407889,8836,0
"7804","3","1",30,"53","5",250000,"5","1","1","2",48,"0","0","1","2",250000,12.4292161968444,900,0
"7805","3","0",42,"11","4",4500000,"6","0","1","1",30,"1","1","1","2",4500000,15.3195879547405,1764,1
"7806","4","0",42,"16","4",5e+05,"6","0","1","1",48,"1","1","1","1",5e+05,13.1223633774043,1764,1
